Xfoil polar. Reynolds number fixed. Mach  number fixed,,,,,,
Polar key,xf-naca0010-il-100000,,,,,
Airfoil,naca0010-il,,,,,
Reynolds number,100000,,,,,
Ncrit,9,,,,,
Mach,0,,,,,
Max Cl/Cd,35.8299,,,,,
Max Cl/Cd alpha,4.25,,,,,
Url,http://airfoiltools.com/polar/csv?polar=xf-naca0010-il-100000,,,,,
,,,,,,
Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.5,-0.5558,0.10754,0.10264,-0.001,1,0.1703
-10.25,-0.5343,0.10341,0.09848,0.0011,1,0.1742
-10,-0.8387,0.0724,0.06713,-0.0217,1,0.0863
-9.75,-0.8376,0.06731,0.06193,-0.0216,1,0.0833
-9.5,-0.8461,0.06193,0.05638,-0.0213,1,0.0816
-9.25,-0.8578,0.05611,0.05023,-0.0205,1,0.0796
-9,-0.8653,0.05042,0.04406,-0.0191,1,0.0779
-8.75,-0.8624,0.04631,0.03952,-0.0175,1,0.079
-8.5,-0.8555,0.04268,0.03542,-0.0158,1,0.081
-8.25,-0.8453,0.03918,0.03137,-0.014,1,0.0824
-8,-0.8315,0.03632,0.02792,-0.0121,1,0.0842
-7.75,-0.8149,0.03338,0.02466,-0.011,1,0.0875
-7.5,-0.7938,0.03141,0.02257,-0.0101,1,0.0909
-7.25,-0.7723,0.02952,0.0204,-0.009,1,0.0944
-7,-0.7507,0.02814,0.01856,-0.0077,1,0.0987
-6.75,-0.7269,0.02595,0.0164,-0.0072,1,0.1027
-6.5,-0.7028,0.02452,0.01487,-0.0064,1,0.1073
-6.25,-0.6789,0.02328,0.01342,-0.0054,1,0.1137
-6,-0.6557,0.02196,0.01224,-0.0046,1,0.1219
-5.75,-0.6326,0.02066,0.01097,-0.0036,1,0.1312
-5.5,-0.6109,0.01945,0.00988,-0.0024,1,0.1459
-5.25,-0.591,0.01823,0.00885,-0.0009,1,0.1732
-5,-0.5732,0.01696,0.00799,0.0007,1,0.2248
-4.75,-0.5559,0.01583,0.00735,0.0024,1,0.2991
-4.5,-0.5374,0.01504,0.00693,0.0041,1,0.3732
-4.25,-0.5181,0.01446,0.00663,0.0058,1,0.443
-4,-0.499,0.01399,0.00647,0.0077,1,0.5103
-3.75,-0.4795,0.01362,0.00637,0.0098,1,0.5737
-3.5,-0.4591,0.01333,0.00628,0.0118,1,0.6288
-3.25,-0.4382,0.0131,0.0062,0.0139,1,0.678
-3,-0.4174,0.01294,0.00619,0.0161,1,0.7254
-2.75,-0.3966,0.01288,0.00623,0.0185,1,0.771
-2.5,-0.3752,0.01291,0.00633,0.021,1,0.8146
-2.25,-0.3522,0.01302,0.00647,0.0232,1,0.856
-2,-0.3203,0.01327,0.00669,0.0237,1,0.8918
-1.75,-0.2755,0.01358,0.0069,0.0214,1,0.9233
-1.5,-0.2169,0.01387,0.00705,0.016,1,0.9486
-1.25,-0.1443,0.01402,0.00705,0.0073,1,0.9659
-1,-0.076,0.01395,0.00688,-0.0009,1,0.983
-0.75,-0.0075,0.01371,0.00657,-0.0096,1,0.9974
-0.5,0.0072,0.01343,0.00629,-0.0087,1,1
-0.25,0.0055,0.01326,0.00614,-0.0047,1,1
0,0,0.0132,0.00609,0,1,1
0.25,-0.0055,0.01326,0.00614,0.0047,1,1
0.5,-0.0072,0.01343,0.00629,0.0087,1,1
0.75,0.0075,0.01371,0.00656,0.0096,0.9974,1
1,0.076,0.01395,0.00688,0.0009,0.983,1
1.25,0.1442,0.01401,0.00705,-0.0073,0.9659,1
1.5,0.2168,0.01387,0.00705,-0.016,0.9486,1
